x_px,y_px
3112,577
3112,684
3112,2154
3112,2202
3112,2302
3123,2261
3124,2191
3124,2299
3127,642
3145,635
3145,751
3145,2135
3145,2242
3152,576
3154,611
3154,717
3156,2122
3157,686
3181,560
3181,614
3181,640
3181,699
3181,722
3181,764
3181,2107
3181,2118
3181,2221
3181,2259
3181,2276
3181,2310
3196,2154
3197,576
3206,2122
3210,686
3213,687
3213,2138
3213,2259
3235,2090
3236,2191
3244,611
3248,626
3248,762
3248,806
3248,2070
3248,2152
3248,2254
3255,2154
3279,696
3279,814
3279,2144
3279,2274
3281,2154
3291,2050
3292,750
3292,2229
3298,2090
3301,2261
3302,2154
3311,618
3311,641
3311,795
3311,2019
3311,2064
3311,2176
3311,2236
3324,782
3338,830
3339,686
3342,686
3342,766
3342,841
3342,2028
3342,2186
3342,2222
3348,2191
3360,865
3362,2122
3368,1984
3370,2050
3372,2016
3374,686
3374,795
3374,1992
3374,2056
3374,2185
3377,717
3384,1949
3386,898
3406,966
3410,716
3410,763
3410,810
3410,896
3410,938
3410,970
3410,1940
3410,2063
3410,2169
3418,2090
3424,1918
3426,2154
3438,1853
3442,966
3443,884
3443,1844
3443,1874
3443,2025
3446,997
3450,930
3450,1949
3466,2090
3470,2050
3474,1853
3484,813
3484,921
3484,1016
3484,1096
3484,1917
3484,2108
3486,1760
3492,1984
3496,830
3496,898
3496,2090
3507,1127
3510,2016
3513,865
3525,876
3525,933
3525,966
3525,984
3525,1042
3525,1100
3525,1182
3525,1866
3526,1697
3533,1918
3536,1884
3542,1028
3544,898
3548,997
3556,930
3557,1059
3558,1949
3560,956
3560,1164
3560,1556
3560,1719
3560,1834
3560,1889
3560,1971
3564,1822
3566,1295
3566,1634
3569,1918
3570,1127
3572,1090
3574,1259
3576,1791
3584,1568
3584,1853
3588,1431
3588,1506
3591,948
3591,986
3591,1070
3591,1155
3591,1212
3591,1296
3591,1608
3591,1918
3594,966
3600,1599
3600,1760
3601,1295
3605,1728
3606,1158
3614,1191
3616,1127
3620,1222
3621,1634
3622,1665
3626,1918
3631,1068
3631,1186
3631,1340
3631,1379
3631,1435
3631,1482
3631,1752
3633,1127
3635,1697
3644,1369
3644,1400
3648,1537
3650,1634
3660,1338
3662,1463
3663,1154
3663,1399
3663,1544
3663,1660
3663,1746
3663,1832
3670,1127
3673,1431
3688,1634
3692,1463
3695,1154
3695,1222
3695,1410
3695,1674
3696,1599
3712,1259
3720,1506
3720,1568
3722,1295
3723,1634
3727,1369
3729,1400
