x,y
0,3.388888888888889
0,4.842105263157895
0,12.047619047619047
0,12.333333333333334
0,17.235294117647058
0,19.3125
0,20.523809523809526
0,20.761904761904763
0,22.75
0,24.11111111111111
0.0,25
0.0,27
0,28.1875
0,29.11111111111111
0,29.666666666666668
0,30.285714285714285
0,31.473684210526315
0,32.5
0,34.44444444444444
0,35.8125
0,36.333333333333336
0,36.44444444444444
0,36.666666666666664
0,37.125
0,38.5
0,39.333333333333336
0,39.61904761904762
0,40.473684210526315
0,40.63157894736842
0,41.611111111111114
0.0,42
0,42.294117647058826
0,42.76470588235294
0,43.529411764705884
0,44.94444444444444
0.0,46
0,47.05882352941177
0,48.05882352941177
0,48.411764705882355
0,49.375
0.058823529411764705,11
0.11764705882352941,49
0.17647058823529413,7
0.17647058823529413,18
0.23529411764705882,20
0.23529411764705882,25
0.29411764705882354,16
0.29411764705882354,22
0.29411764705882354,26
0.35294117647058826,12
0.35294117647058826,13
0.4117647058823529,24
0.4117647058823529,25
0.4117647058823529,27
0.4117647058823529,43
0.47058823529411764,26
0.5294117647058824,13
0.5882352941176471,24
0.5882352941176471,29
0.5882352941176471,30
0.5882352941176471,31
0.6470588235294118,12
0.6470588235294118,21
0.6470588235294118,27
0.7058823529411765,18
0.7058823529411765,38
0.7058823529411765,46
0.7647058823529411,17
0.7647058823529411,19
0.7647058823529411,35
0.7647058823529411,47
0.8235294117647058,22
0.8235294117647058,36
0.8235294117647058,45
0.8235294117647058,48
0.8823529411764706,34
0.8823529411764706,37
0.8823529411764706,44
0.9411764705882353,40
0.9411764705882353,41
1,11.857142857142858
1,17.41176470588235
1,17.88235294117647
1,19.3125
1,20.428571428571427
1,21.705882352941178
1,22.3125
1,23.57894736842105
1.0,24
1,24.444444444444443
1,24.944444444444443
1,25.75
1,26.94736842105263
1,27.941176470588236
1,28.25
1.0,29
1,29.555555555555557
1,30.238095238095237
1,31.105263157894736
1,31.42105263157895
1.0,33
1,34.27777777777778
1,34.666666666666664
1,35.625
1,36.407407407407405
1,37.25
1,38.375
1,38.5625
1,39.476190476190474
1,39.61904761904762
1,40.36842105263158
1,41.5
1,42.705882352941174
1,43.529411764705884
1,44.22222222222222
1,44.833333333333336
1,45.94117647058823
1,46.888888888888886
1,47.1764705882353
1,48.05882352941177
1,49.1875
1,49.5
1.0526315789473684,39
1.1052631578947367,49
1.1578947368421053,29
1.1578947368421053,45
1.263157894736842,7
1.263157894736842,18
1.263157894736842,44
1.3157894736842106,21
1.3157894736842106,24
1.3157894736842106,43
1.3157894736842106,46
1.368421052631579,11
1.368421052631579,23
1.368421052631579,50
1.4736842105263157,12
1.4736842105263157,30
1.4736842105263157,39
1.4736842105263157,46
1.526315789473684,13
1.526315789473684,22
1.5789473684210527,11
1.5789473684210527,25
1.5789473684210527,28
1.5789473684210527,38
1.631578947368421,19
1.631578947368421,20
1.631578947368421,29
1.6842105263157894,18
1.6842105263157894,26
1.6842105263157894,32
1.736842105263158,21
1.736842105263158,41
1.7894736842105263,31
1.7894736842105263,36
1.7894736842105263,42
1.7894736842105263,44
1.8421052631578947,25
1.8947368421052633,32
1.8947368421052633,33
1.9473684210526314,40
2,4.7894736842105265
2,5.705882352941177
2,12.19047619047619
2,18.25
2,19.5625
2,20.523809523809526
2,21.11764705882353
2,22.8125
2,23.526315789473685
2,23.94736842105263
2,24.38888888888889
2,25.125
2,25.6875
2,26.05263157894737
2,26.94736842105263
2,28.25
2,29.11111111111111
2,30.19047619047619
2,31.210526315789473
2,33.1875
2,34.611111111111114
2,35.6875
2,36.44444444444444
2,37.375
2,38.4375
2,39.333333333333336
2,39.61904761904762
2,40.421052631578945
2,40.578947368421055
2,41.5
2,42.705882352941174
2.0,43
2,43.588235294117645
2,43.76470588235294
2,44.833333333333336
2,46.166666666666664
2,47.23529411764706
2,48.05882352941177
2,49.3125
2.05,37
2.05,38
2.05,47
2.15,15
2.15,29
2.15,39
2.15,45
2.15,49
2.2,44
2.25,41
2.3,21
2.3,29
2.3,42
2.3,45
2.35,18
2.35,20
2.35,22
2.35,24
2.35,25
2.35,36
2.35,50
2.4,19
2.45,12
2.45,34
2.5,26
2.55,27
2.55,33
2.55,44
2.6,13
2.6,18
2.65,28
2.65,30
2.65,37
2.65,45
2.7,36
2.7,44
2.75,32
2.75,47
2.75,48
2.8,21
2.8,24
2.8,25
2.8,39
2.8,43
2.85,41
2.9,33
2.9,46
2.95,29
2.95,31
2.95,37
3,5.294117647058823
3,5.470588235294118
3,12.19047619047619
3,12.952380952380953
3,13.705882352941176
3,17.823529411764707
3,18.1875
3,18.625
3,19.5
3,20.38095238095238
3,21.235294117647058
3,22.0625
3,26.526315789473685
3,26.894736842105264
3,27.941176470588236
3,29.166666666666668
3,30.19047619047619
3,31.894736842105264
3,32.27777777777778
3,35.5625
3,35.8125
3,36.111111111111114
3,36.592592592592595
3,37.4375
3.0,38
3,38.375
3,39.57142857142857
3.0,40
3,41.55555555555556
3,42.588235294117645
3,43.411764705882355
3,44.05555555555556
3,44.72222222222222
3,46.333333333333336
3,47.23529411764706
3,47.94117647058823
3,48.23529411764706
3,49.3125
3.0526315789473686,3
3.0526315789473686,36
3.1578947368421053,47
3.2105263157894735,6
3.2105263157894735,12
3.2105263157894735,18
3.263157894736842,19
3.263157894736842,27
3.3157894736842106,7
3.3157894736842106,20
3.3157894736842106,22
3.3157894736842106,49
3.3684210526315788,28
3.3684210526315788,29
3.4210526315789473,13
3.4210526315789473,21
3.4210526315789473,25
3.4210526315789473,40
3.473684210526316,14
3.473684210526316,24
3.473684210526316,31
3.473684210526316,45
3.526315789473684,28
3.526315789473684,32
3.526315789473684,33
3.526315789473684,34
3.526315789473684,37
3.5789473684210527,30
3.5789473684210527,36
3.5789473684210527,38
3.5789473684210527,39
3.6315789473684212,15
3.6842105263157894,12
3.6842105263157894,18
3.6842105263157894,19
3.6842105263157894,40
3.6842105263157894,46
3.736842105263158,28
3.736842105263158,43
3.7894736842105265,22
3.7894736842105265,41
3.7894736842105265,48
3.8421052631578947,44
3.8421052631578947,45
3.8421052631578947,46
3.8421052631578947,47
3.9473684210526314,6
4,2.625
4,5.529411764705882
4,5.705882352941177
4,6.294117647058823
4,12.238095238095237
4,13.058823529411764
4,19.4375
4,20.428571428571427
4,21.11764705882353
4,21.647058823529413
4,21.823529411764707
4,22.4375
4,25.125
4,26.68421052631579
4,26.842105263157894
4.0,27
4,27.764705882352942
4,27.941176470588236
4,29.11111111111111
4,29.5
4,30.095238095238095
4,30.428571428571427
4,31.105263157894736
4,31.894736842105264
4,32.55555555555556
4,32.72222222222222
4,35.125
4,36.407407407407405
4,36.55555555555556
4,36.81481481481482
4,38.125
4,39.285714285714285
4,39.80952380952381
4,40.36842105263158
4.0,41
4,41.27777777777778
4,41.5
4.0,44
4,44.666666666666664
4,45.11764705882353
4,45.88235294117647
4,46.388888888888886
4,47.11764705882353
4,47.94117647058823
4,49.125
4.0588235294117645,33
4.117647058823529,22
4.176470588235294,38
4.176470588235294,39
4.176470588235294,46
4.176470588235294,49
4.235294117647059,48
4.294117647058823,13
4.294117647058823,20
4.294117647058823,23
4.294117647058823,32
4.294117647058823,45
4.294117647058823,50
4.352941176470588,1
4.352941176470588,21
4.352941176470588,25
4.352941176470588,37
4.411764705882353,6
4.411764705882353,12
4.411764705882353,19
4.470588235294118,13
4.470588235294118,18
4.529411764705882,17
4.588235294117647,34
4.647058823529412,21
4.647058823529412,22
4.705882352941177,28
4.705882352941177,29
4.705882352941177,30
4.764705882352941,17
4.764705882352941,27
4.764705882352941,31
4.764705882352941,38
4.764705882352941,41
4.823529411764706,24
4.823529411764706,37
4.823529411764706,47
4.882352941176471,25
