x_px,y_px
1959,458
1959,459
1959,460
1959,461
1959,489
1959,490
1959,491
1959,492
1959,505
1960,471
1964,498
1970,498
1980,471
1995,451
2019,471
2020,441
2021,444
2021,448
2044,471
2053,460
2053,521
2069,471
2080,448
2080,499
2080,502
2080,503
2084,498
2100,471
2109,463
2109,513
2109,538
2135,451
2135,538
2139,498
2143,525
2156,471
2167,468
2194,456
2194,471
2195,498
2196,498
2196,525
2224,476
2224,513
2228,471
2238,525
2250,452
2250,494
2250,501
2250,548
2251,498
2252,498
2256,471
2281,438
2281,458
2281,501
2307,586
2335,570
2335,589
2361,2417
2367,580
2370,553
2372,2383
2384,525
2385,2396
2407,580
2411,453
2411,492
2411,592
2411,2375
2413,2332
2416,2383
2421,553
2422,553
2424,471
2435,525
2437,471
2450,460
2450,498
2450,551
2458,471
2464,525
2472,498
2473,498
2474,498
2475,498
2477,453
2477,491
2477,497
2477,498
2477,551
2477,593
2484,553
2487,525
2496,471
2497,471
2500,580
2507,448
2507,498
2512,498
2516,580
2532,471
2532,580
2539,453
2539,471
2539,594
2551,580
2565,454
2614,553
2635,2299
2637,580
2638,2332
2640,458
2640,532
2640,593
2640,595
2640,2277
2640,2420
2646,2299
2648,498
2648,525
2653,2383
2664,2299
2666,2332
2667,459
2667,471
2667,479
2667,508
2667,535
2667,601
2667,2276
2667,2302
2667,2342
2667,2365
2668,2417
2694,461
2694,601
2694,640
2694,2273
2694,2324
2694,2342
2700,2383
2706,2332
2707,553
2709,553
2711,580
2718,2383
2720,541
2720,611
2720,640
2720,2271
2720,2316
2720,2331
2720,2364
2720,2381
2720,2410
2725,580
2744,2332
2746,580
2747,541
2747,558
2747,611
2747,644
2752,553
2754,553
2754,2299
2760,2332
2765,2383
2775,2266
2776,525
2776,529
2776,532
2776,542
2776,645
2776,2268
2776,2321
2776,2363
2776,2387
2797,525
2803,542
2803,592
2803,2321
2803,2352
2803,2363
2803,2378
2806,2332
2817,553
2817,580
2819,498
2821,638
2822,611
2826,2332
2827,2383
2829,494
2829,535
2829,552
2829,618
2829,2311
2829,2355
2829,2364
2829,2377
2829,2399
2856,496
2856,552
2856,617
2856,2262
2856,2311
2856,2332
2856,2368
2858,2266
2865,2383
2876,611
2876,638
2881,553
2883,2299
2884,2299
2885,503
2885,550
2885,602
2885,2247
2885,2299
2885,2300
2885,2306
2886,2299
2887,2237
2888,2237
2889,2237
2898,2332
2911,532
2911,550
2911,602
2911,660
2911,2256
2911,2303
2911,2314
2911,2368
2912,498
2915,553
2917,2332
2923,2299
2925,553
2925,580
2930,2237
2931,611
2931,638
2934,553
2936,553
2937,502
2937,536
2937,539
2937,553
2937,2309
2938,2332
2945,580
2946,2266
2947,2266
2948,2266
2949,2266
2952,2332
2969,504
2969,525
2969,534
2969,553
2969,662
2969,2227
2969,2309
2974,553
2977,553
2977,2266
2979,2237
2986,611
2986,638
2987,2332
2991,580
2994,2266
2996,505
2996,569
2996,659
2996,2205
2996,2258
2996,2293
2996,2346
2999,525
3024,580
3027,507
3027,659
3027,2192
3027,2241
3038,2209
3038,2237
3044,2266
3044,2299
3052,2332
3054,511
3054,552
3054,580
3054,653
3054,674
3054,2188
3054,2235
3054,2306
3054,2314
3054,2338
3056,553
3059,525
3065,2332
3081,552
3081,592
3081,645
3081,703
3081,2178
3081,2235
3085,553
3085,580
3085,2332
3095,2180
3099,2209
3099,2237
3104,611
3104,638
3106,686
3108,548
3108,704
3108,705
3108,706
3108,2148
3108,2188
3108,2245
3112,2148
3122,738
3132,2148
3139,738
3140,550
3140,591
3140,724
3140,748
3140,2139
3140,2148
3140,2188
3140,2245
3140,2263
3140,2292
3141,2266
3144,2209
3147,611
3147,638
3152,580
3153,2266
3154,712
3157,686
3157,712
3159,738
3164,2122
3166,2231
3167,2266
3168,2148
3168,2209
3174,764
3191,2266
3194,614
3194,780
3194,2100
3194,2119
3194,2177
3194,2197
3194,2231
3194,2295
3195,2299
3197,580
3197,2209
3198,611
3203,2122
3205,2122
3207,2148
3208,2180
3210,686
3211,2237
3212,738
3213,764
3216,2266
3218,2090
3223,646
3223,661
3223,728
3223,2083
3223,2103
3223,2107
3223,2188
3223,2247
3228,2209
3243,2090
3249,767
3249,809
3249,2123
3249,2247
3250,2209
3255,2148
3257,2122
3258,2122
3259,2122
3260,2122
3260,2266
3262,764
3263,2180
3264,2180
3264,2237
3265,2180
3265,2237
3266,2237
3267,2237
3268,2237
3272,2090
3276,2036
3279,612
3279,770
3279,2061
3279,2133
3279,2197
3279,2243
3281,2148
3282,2266
3285,793
3296,2036
3297,2122
3299,2090
3300,2148
3305,618
3305,638
3305,770
3305,810
3305,2172
3305,2195
3305,2196
3305,2197
3305,2198
3306,2209
3309,793
3326,738
3326,764
3329,2010
3332,764
3332,821
3332,2015
3332,2044
3332,2054
3332,2062
3332,2222
3336,2209
3345,793
3350,712
3351,1984
3353,2036
3366,712
3366,764
3366,821
3366,1969
3366,2009
3366,2053
3369,686
3369,2010
3370,2010
3377,830
3377,857
3379,738
3380,764
3380,793
3384,2036
3386,2063
3392,913
3395,714
3395,763
3395,1965
3395,2018
3395,2062
3395,2083
3395,2148
3403,1984
3407,939
3418,2090
3423,2122
3424,2063
3424,2122
3425,2063
3426,735
3426,736
3426,737
3426,763
3426,937
3426,976
3426,1928
3426,1945
3426,2003
3426,2004
3426,2010
3426,2036
3426,2066
3426,2116
3426,2120
3426,2122
3430,966
3431,764
3431,913
3432,2122
3433,2122
3434,2122
3435,939
3435,2122
3442,1984
3443,2148
3444,1984
3450,992
3452,1874
3452,1898
3452,1941
3452,1965
3452,1985
3452,2004
3452,2024
3452,2070
3452,2122
3458,966
3464,1869
3466,1811
3466,2090
3468,2036
3476,1837
3479,966
3480,1954
3480,1984
3481,913
3484,922
3484,982
3484,1044
3484,1783
3484,1791
3484,1792
3484,1839
3484,1957
3484,1997
3484,2003
3484,2060
3485,2063
3486,1928
3488,1756
3489,1811
3491,2036
3494,1730
3495,2090
3499,992
3499,1023
3503,1050
3503,1079
3504,939
3504,966
3505,857
3506,887
3506,1106
3507,913
3512,1137
3517,1869
3522,1191
3522,2036
3523,1928
3524,1895
3525,920
3525,943
3525,984
3525,1025
3525,1051
3525,1098
3525,1730
3525,1756
3525,1828
3525,1894
3525,1897
3525,2003
3525,2042
3527,1895
3528,1811
3529,1783
3534,1895
3536,1954
3536,1984
3540,1650
3541,966
3541,1164
3541,1191
3544,1023
3546,1243
3547,1217
3553,988
3553,1042
3553,1044
3553,1098
3553,1156
3553,1213
3553,1256
3553,1257
3553,1664
3553,1730
3553,1767
3553,1793
3553,1822
3553,1853
3553,1891
3553,1942
3557,1050
3557,1079
3559,1106
3559,1137
3562,992
3566,1269
3570,1023
3572,1506
3575,1191
3575,1217
3577,1243
3578,1677
3578,1703
3581,989
3581,1041
3581,1096
3581,1156
3581,1211
3581,1537
3581,1541
3581,1605
3581,1624
3581,1650
3581,1661
3581,1718
3581,1730
3581,1756
3581,1767
3581,1777
3581,1831
3581,1890
3581,1891
3581,1898
3581,1942
3581,1954
3582,1895
3583,1269
3583,1783
3583,1811
3588,1364
3589,1596
3591,1928
3593,1443
3599,1137
3599,1869
3601,1295
3606,1243
3606,1338
3608,1558
3609,1506
3612,1417
3615,1042
3615,1099
3615,1100
3615,1156
3615,1212
3615,1338
3615,1383
3615,1661
3615,1714
3615,1769
3615,1819
3615,1846
3615,1886
3615,1924
3616,1137
3617,1164
3617,1191
3617,1217
3620,1928
3621,1624
3624,1443
3625,1079
3628,1811
3635,1677
3635,1703
3635,1730
3635,1756
3638,1837
3639,1417
3641,1099
3641,1155
3641,1189
3641,1220
3641,1342
3641,1378
3641,1431
3641,1478
3641,1615
3641,1617
3641,1660
3641,1717
3641,1774
3641,1831
3645,1473
3648,1624
3651,1811
3656,1079
3659,1191
3669,1137
3669,1154
3669,1155
3669,1157
3669,1205
3669,1208
3669,1211
3669,1217
3669,1378
3669,1478
3669,1606
3669,1660
3669,1717
3675,1364
3675,1730
3679,1217
3679,1390
3679,1417
3679,1677
3679,1703
3681,1191
3681,1217
3687,1624
3687,1650
3692,1473
3694,1730
3695,1220
3695,1390
3695,1432
3708,1191
3715,1243
3715,1269
3721,1295
3723,1506
3723,1624
3725,1558
3728,1364
