x_px,y_px
917,2621
917,2664
919,389
921,331
922,441
922,2616
932,358
932,2616
937,2526
942,415
944,331
949,313
949,345
949,352
949,405
949,422
949,454
949,2524
949,2596
949,2620
963,2616
966,2552
975,314
975,342
975,352
975,372
975,389
975,398
975,2508
975,2540
975,2544
975,2598
975,2603
975,2648
979,441
980,389
985,358
986,415
987,2552
995,2616
998,415
999,331
999,358
1007,318
1007,360
1007,424
1007,451
1007,2612
1011,441
1015,471
1021,2526
1023,2552
1033,316
1033,359
1033,366
1033,2503
1033,2538
1033,2542
1033,2602
1033,2644
1037,331
1041,358
1041,415
1049,2552
1055,2616
1059,316
1059,359
1059,415
1059,2549
1059,2576
1059,2603
1059,2620
1059,2649
1067,471
1077,2616
1080,2552
1081,2526
1086,318
1086,346
1086,364
1086,478
1086,2497
1086,2531
1086,2545
1086,2598
1086,2607
1086,2642
1095,471
1097,358
1097,415
1107,2526
1109,2552
1112,320
1112,347
1112,352
1112,409
1112,459
1112,462
1112,2495
1112,2554
1112,2581
1112,2593
1112,2613
1112,2639
1115,2578
1115,2616
1116,415
1116,441
1118,358
1121,471
1123,331
1134,2495
1135,2578
1136,2616
1137,2552
1138,2578
1144,328
1144,367
1144,370
1144,2493
1144,2545
1144,2583
1144,2586
1144,2593
1144,2606
1144,2641
1147,331
1150,2552
1153,358
1153,389
1159,358
1159,389
1159,415
1162,441
1170,345
1170,355
1170,397
1170,408
1170,449
1170,456
1170,464
1170,2489
1170,2536
1170,2583
1170,2599
1170,2609
1170,2638
1170,2644
1173,358
1176,2616
1177,389
1177,415
1182,441
1184,331
1191,2495
1200,2642
1203,337
1203,373
1203,458
1203,2491
1203,2527
1203,2536
1203,2542
1203,2552
1203,2578
1203,2583
1203,2599
1203,2640
1210,415
1211,471
1221,358
1221,389
1223,2526
1229,348
1229,395
1229,408
1229,453
1229,463
1229,2493
1229,2523
1229,2578
1229,2608
1229,2639
1232,2642
1235,389
1236,415
1237,2616
1241,441
1260,340
1260,362
1260,383
1260,421
1260,465
1260,480
1260,2490
1260,2524
1260,2580
1260,2603
1260,2636
1263,441
1264,358
1265,389
1265,415
1268,358
1268,471
1271,2552
1274,2578
1277,2526
1281,2495
1286,351
1286,400
1286,406
1286,2483
1286,2486
1286,2491
1286,2517
1286,2539
1286,2547
1286,2576
1286,2586
1286,2605
1286,2634
1289,2495
1291,358
1297,389
1307,2495
1307,2552
1316,339
1316,383
1316,407
1316,2485
1316,2519
1316,2539
1316,2544
1316,2576
1316,2633
1323,389
1323,2526
1324,471
1334,2526
1340,2552
1341,2578
1343,352
1343,396
1343,406
1343,452
1343,460
1343,2480
1343,2484
1343,2488
1343,2516
1343,2565
1343,2597
1343,2602
1343,2632
1347,2495
1352,415
1354,441
1370,2495
1373,338
1373,389
1373,2483
1373,2516
1373,2565
1373,2597
1373,2629
1376,2552
1378,358
1379,415
1379,2578
1381,441
1382,389
1383,2526
1385,389
1388,471
1390,2526
1394,2495
1400,352
1400,392
1400,397
1400,451
1400,459
1400,492
1400,2485
1400,2533
1400,2543
1400,2576
1400,2599
1400,2628
1403,389
