x,y
156,595
156,704
156,715
156,730
158,743
158,796
159,91
159,171
159,362
159,366
159,370
159,533
159,561
159,665
159,681
159,781
159,816
159,854
160,692
162,188
162,258
162,390
162,755
163,220
163,233
163,245
163,271
163,378
163,856
166,285
166,299
166,430
167,245
167,327
167,338
167,356
167,367
167,442
168,314
168,378
168,458
169,415
169,513
169,525
169,667
169,678
170,430
171,487
172,327
174,502
174,836
174,856
175,291
175,315
175,322
175,343
175,355
175,391
175,437
175,477
175,495
175,512
175,531
175,544
175,564
175,602
175,642
175,654
175,662
175,681
175,701
175,719
175,736
175,776
175,781
175,794
175,860
176,537
176,743
176,755
176,874
178,258
178,299
178,582
179,667
179,678
179,767
179,796
180,338
180,692
180,808
181,314
181,367
181,390
182,356
182,378
182,430
182,442
182,582
182,856
183,767
184,550
185,233
185,367
185,415
185,472
185,525
185,537
185,704
185,715
186,430
186,487
186,513
187,258
187,271
188,226
188,237
188,245
188,266
188,285
188,315
188,319
188,334
188,338
188,353
188,358
188,371
188,377
188,390
188,437
188,491
188,529
188,541
188,551
188,564
188,574
188,578
188,582
188,604
188,621
188,630
188,642
188,662
188,719
188,739
188,763
188,771
188,791
188,852
188,860
189,367
189,678
189,730
190,755
191,836
192,314
192,796
192,856
193,299
193,767
194,550
194,704
194,874
195,233
195,245
196,258
196,285
196,715
197,271
200,281
200,292
200,299
200,318
200,332
200,370
200,529
200,550
200,568
200,580
200,604
200,622
200,647
200,660
200,675
200,701
200,706
200,715
200,719
200,723
200,763
200,778
200,817
200,836
200,851
200,871
200,875
200,892
201,327
201,356
201,378
201,654
202,338
203,402
203,430
204,563
205,415
205,630
206,513
206,642
207,472
207,606
207,678
208,502
209,487
209,595
209,715
210,513
211,582
212,525
212,617
212,642
212,667
213,630
213,678
213,730
213,767
213,781
214,332
214,492
214,531
214,548
214,588
214,662
214,684
214,723
214,760
214,774
214,790
214,796
214,808
214,817
214,868
214,891
215,755
216,743
217,367
217,692
218,338
218,796
218,874
220,390
220,781
221,299
221,402
222,314
222,796
223,472
223,487
224,356
224,442
224,595
224,781
225,415
225,563
225,582
225,606
225,617
226,630
226,796
227,367
227,430
227,487
227,502
227,513
227,525
227,692
227,743
228,65
228,300
228,322
228,334
228,351
228,359
228,396
228,402
228,407
228,424
228,434
228,448
228,452
228,456
228,471
228,475
228,529
228,548
228,567
228,586
228,624
228,635
228,662
228,667
228,678
228,696
228,702
228,730
228,736
228,751
228,763
228,773
228,781
228,790
228,802
228,808
228,824
228,832
228,850
228,868
229,755
229,836
230,563
230,642
230,654
230,796
231,537
232,550
232,767
232,781
232,856
232,874
233,299
233,678
233,743
233,755
234,327
234,796
234,808
235,367
235,715
236,430
237,704
238,299
238,513
239,66
239,295
239,314
239,332
239,367
239,398
239,408
239,434
239,447
239,452
239,471
239,490
239,503
239,525
239,531
239,535
239,539
239,546
239,569
239,603
239,626
239,635
239,647
239,662
239,674
239,684
239,695
239,708
239,712
239,717
239,751
239,760
239,777
239,789
239,799
239,810
239,824
239,850
239,874
242,667
243,314
243,550
243,563
244,338
244,367
244,704
244,715
245,258
245,390
246,430
246,458
246,642
246,654
246,678
247,415
247,595
247,755
248,582
248,781
248,796
249,442
249,487
249,606
250,502
250,617
250,704
250,715
251,550
251,642
252,630
252,730
252,824
253,14
253,225
253,239
253,253
253,257
253,298
253,317
253,332
253,338
253,348
253,354
253,369
253,378
253,387
253,396
253,413
253,431
253,450
253,459
253,472
253,488
253,526
253,543
253,564
253,579
253,588
253,600
253,659
253,667
253,678
253,734
253,751
253,755
253,775
253,793
253,814
253,828
253,834
253,849
253,870
253,893
254,715
255,285
255,550
255,743
256,402
256,692
256,808
257,314
257,390
257,415
258,654
259,487
259,550
260,378
260,472
260,502
260,563
261,513
261,525
261,582
262,415
262,537
262,642
262,667
262,678
263,458
264,28
264,502
264,606
265,367
265,563
265,595
266,334
266,350
266,373
266,395
266,415
266,428
266,446
266,473
266,483
266,492
266,509
266,526
266,545
266,559
266,589
266,602
266,617
266,622
266,636
266,643
266,658
266,678
266,697
266,733
266,755
266,775
266,793
266,811
266,835
266,851
266,870
267,692
267,715
268,502
268,704
268,767
269,563
269,781
270,220
270,642
270,808
270,836
270,874
271,796
272,502
272,824
273,258
273,630
273,654
274,378
274,715
275,338
276,356
276,367
276,390
276,458
276,525
277,240
277,257
