original_x,original_y,sample_x,sample_y
4.791,11.0,4.75,10.066287680303676
5.0,12.09,5.0,12.061790041779298
5.146,13.0,5.25,14.065246356211082
5.412,16.0,5.5,16.08500056734901
5.671,17.0,5.75,18.13128348266567
5.724,18.0,6.0,20.217054808855032
5.811,19.0,6.25,22.34800266437955
5.818,18.0,6.5,24.512788228385656
5.992,20.0,6.75,26.689207688130395
6.0,20.24,7.0,28.86566826351987
6.087,20.0,7.25,31.035026647141336
6.129,21.0,7.5,33.19967738268253
6.191,22.0,7.75,35.360257803217195
6.225,21.0,8.0,37.508670303888955
6.311,23.0,8.25,39.62907459262128
6.4,24.0,8.5,41.70075569688798
6.45,25.0,8.75,43.70019353701825
6.555,25.0,9.0,45.60026979337404
6.786,27.0,9.25,47.37051207957353
6.888,28.0,9.5,48.98133918043065
7.0,29.728,9.75,50.409533290025074
7.258,31.0,10.0,51.64535015814662
7.4,32.0,10.25,52.69755669704961
7.52,33.0,10.5,53.58913916673631
7.602,34.0,10.75,54.34502616878379
7.755,35.0,11.0,54.98950369352362
7.843,36.0,11.25,55.54230545885755
8.095,38.0,11.5,56.020055260650025
8.429,41.0,11.75,56.43354270098452
8.551,42.0,12.0,56.79193398742771
8.698,43.0,12.25,57.104395259418425
9.0,45.647,12.5,57.380092656395405
9.173,47.0,12.75,57.628192317797456
9.227,47.0,13.0,57.857860383063326
9.288,48.0,13.25,58.07737273021758
9.373,48.0,13.5,58.29140427334801
9.402,49.0,13.75,58.5023871557165
9.52,49.0,14.0,58.71110388721939
9.558,50.0,14.25,58.91798402433658
9.666,50.0,14.5,59.122449863932474
9.731,51.0,14.75,59.32372686649674
9.812,51.0,15.0,59.52108013731789
9.922,52.0,15.25,59.71377561859129
10.0,52.111,15.5,59.90107925251228
10.327,53.0,15.75,60.082256981276274
10.789,54.0,16.0,60.256574747078574
11.259,55.0,16.25,60.42351574537737
13.0,57.516,16.5,60.58343218468214
13.394,58.0,16.75,60.73689352676511
14.0,58.614,17.0,60.88446923339856
14.342,59.0,17.25,61.02661301604934
16.0,60.34,17.5,61.16340563995775
17.0,60.8395,17.75,61.2949674674828
17.172,61.0,18.0,61.42143341238494
18.0,61.418,18.25,61.54292944724644
19.0,61.872,18.5,61.65954577993733
19.274,62.0,18.75,61.77136367714944
20.0,62.253,19.0,61.878464405574704
24.0,63.116,19.25,61.98091239751546
25.0,63.136,19.5,62.07872301903671
26.0,63.12,19.75,62.17199242909359
29.0,62.748000000000005,20.0,62.2608492600083
30.0,62.36,20.25,62.345401725203295
32.0,61.534,20.5,62.425676274976034
34.0,60.289,20.75,62.50167891884261
34.399,60.0,21.0,62.57341566631915
35.0,59.476,21.25,62.640892526921796
35.659,59.0,21.5,62.70411551016669
36.0,58.5955,21.75,62.763090625569944
36.495,58.0,22.0,62.81782388264773
38.636,55.0,22.25,62.86832129091612
39.0,54.291,22.5,62.91458885989131
39.146,54.0,22.75,62.956632599089374
39.535,53.0,23.0,62.994458518026455
39.925,52.0,23.25,63.028072626218716
40.0,51.94033333333334,23.5,63.05748093318226
40.103,51.0,23.75,63.08268944843324
40.265,50.0,24.0,63.103704181487785
40.346,50.0,24.25,63.120563162222695
40.44,49.0,24.5,63.1334325019577
40.501,49.0,24.75,63.14251033237318
40.529,48.0,25.0,63.147994785149464
40.657,48.0,25.25,63.15005275554734
40.704,47.0,25.5,63.14872619314887
40.808,46.0,25.75,63.14402581111646
40.813,47.0,26.0,63.13596232261256
40.962,45.0,26.25,63.12450487225111
40.969,46.0,26.5,63.109456330452204
41.0,45.12075,26.75,63.09057799908745
41.639,40.0,27.0,63.06763118002843
43.538,26.0,27.25,63.04037717514673
43.654,25.0,27.5,63.008577286314
43.778,24.0,27.75,62.97199281540179
43.833,24.0,28.0,62.93038506428177
43.953,23.0,28.25,62.88351533482549
